date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:35:58	1447/1447	---MCZ	-1	error ('Open%20error%20when%20decompressing%20(can%20not%20create%20temporary%20file%20/tmp0.z)')	text/html	etag:1610759366-ssl-df	https://tender-bartik-074feb.netlify.app/robots.txt		(from )
00:36:01	13571/13571	---MCZ	200	added ('OK')	text/html	etag:%22484b19ad8c58d7b3442e566483f9b37f-ssl-df%22	https://tender-bartik-074feb.netlify.app/	tender-bartik-074feb.netlify.app/index.html	(from )
00:36:05	96381/96381	---M--	200	added ('OK')	text/javascript	date:Tue,%2003%20Mar%202020%2019:15:00%20GMT	http://ajax.googleapis.com/ajax/libs/jquery/1.11.0/jquery.min.js	ajax.googleapis.com/ajax/libs/jquery/1.11.0/jquery.min.js	(from https://tender-bartik-074feb.netlify.app/)
00:36:05	966/966	---M--	200	added ('OK')	text/css	etag:%22d217f3f6bd070b64583574c30e12b808-ssl%22	https://tender-bartik-074feb.netlify.app/assets/css/contact_form.css	tender-bartik-074feb.netlify.app/assets/css/contact_form.css	(from https://tender-bartik-074feb.netlify.app/)
00:36:09	1011/1011	---M--	200	added ('OK')	application/javascript	etag:%22f6ee52c363c41979cafdf3c8276be18d-ssl%22	https://tender-bartik-074feb.netlify.app/assets/js/contact_form.js	tender-bartik-074feb.netlify.app/assets/js/contact_form.js	(from https://tender-bartik-074feb.netlify.app/)
00:36:11	143922/143922	---MCZ	200	added ('OK')	application/javascript	etag:%2217beda99659b8f531cc519d294e26d4f-ssl-df%22	https://tender-bartik-074feb.netlify.app/assets/js/jQuery.js	tender-bartik-074feb.netlify.app/assets/js/jQuery.js	(from https://tender-bartik-074feb.netlify.app/)
00:36:12	69465/69465	---MCZ	200	added ('OK')	text/css	etag:%22b67aec43d6bc149c62e307e53340f783-ssl-df%22	https://tender-bartik-074feb.netlify.app/assets/css/main.css	tender-bartik-074feb.netlify.app/assets/css/main.css	(from https://tender-bartik-074feb.netlify.app/)
00:36:12	899/899	---M--	200	added ('OK')	text/css	etag:%22501a0806afedc3f1118b09bea5de910c-ssl%22	https://tender-bartik-074feb.netlify.app/assets/css/noscript.css	tender-bartik-074feb.netlify.app/assets/css/noscript.css	(from https://tender-bartik-074feb.netlify.app/)
00:36:14	68282/68282	---M--	200	added ('OK')	image/jpeg	etag:%222d1106476bcc6c7676cade34ba865942-ssl%22	https://tender-bartik-074feb.netlify.app/assets/images/profile-image.jpg	tender-bartik-074feb.netlify.app/assets/images/profile-image.jpg	(from https://tender-bartik-074feb.netlify.app/)
00:36:15	201988/201988	---MCZ	200	added ('OK')	text/html	etag:W/%228bd9fdb82ef68953c772c05199773010%22	https://github.com/bgoonz	github.com/bgoonz.html	(from https://tender-bartik-074feb.netlify.app/)
